$,
,
JDAY,TIN
1,17.47664541
1.01041667,17.47664541
1.02083333,17.47664541
1.03125,17.47664541
1.04166667,17.47664541
1.05208333,17.47664541
1.0625,17.47664541
1.07291667,17.47664541
1.08333333,17.47664541
1.09375,17.47664541
1.10416667,17.47664541
1.11458333,17.47664541
1.125,17.47664541
1.13541667,17.47664541
1.14583333,17.47664541
1.15625,17.47664541
1.16666667,17.47664541
1.17708333,17.47664541
1.1875,17.47664541
1.19791667,17.47664541
1.20833333,17.47664541
1.21875,17.47664541
1.22916667,17.47664541
1.23958333,17.47664541
1.25,17.47664541
1.26041667,17.47664541
1.27083333,17.47664541
1.28125,17.47664541
1.29166667,17.47664541
1.30208333,17.47664541
1.3125,17.47664541
1.32291667,17.47664541
1.33333333,17.47664541
1.34375,17.47664541
1.35416667,17.47664541
1.36458333,17.47664541
1.375,17.47664541
1.38541667,17.47664541
1.39583333,17.47664541
1.40625,17.47664541
1.41666667,17.47664541
1.42708333,17.47664541
1.4375,17.47664541
1.44791667,17.47664541
1.45833333,17.47664541
1.46875,17.47664541
1.47916667,17.47664541
1.48958333,17.47664541
1.5,17.47664541
1.51041667,17.47664541
1.52083333,17.47664541
1.53125,17.47664541
1.54166667,17.47664541
1.55208333,17.47664541
1.5625,17.47664541
1.57291667,17.47664541
1.58333333,17.47664541
1.59375,17.47664541
1.60416667,17.47664541
1.61458333,17.47664541
1.625,17.47664541
1.63541667,17.47664541
1.64583333,17.47664541
1.65625,17.47664541
1.66666667,17.47664541
1.67708333,17.47664541
1.6875,17.47664541
1.69791667,17.47664541
1.70833333,17.47664541
1.71875,17.47664541
1.72916667,17.47664541
1.73958333,17.47664541
1.75,17.47664541
1.76041667,17.47664541
1.77083333,17.47664541
1.78125,17.47664541
1.79166667,17.47664541
1.80208333,17.47664541
1.8125,17.47664541
1.82291667,17.47664541
1.83333333,17.47664541
1.84375,17.47664541
1.85416667,17.47664541
1.86458333,17.47664541
1.875,17.47664541
1.88541667,17.47664541
1.89583333,17.47664541
1.90625,17.47664541
1.91666667,17.47664541
1.92708333,17.47664541
1.9375,17.47664541
1.94791667,17.47664541
1.95833333,17.47664541
1.96875,17.47664541
1.97916667,17.47664541
1.98958333,17.47664541
2,17.47664541
2.01041667,17.47664541
2.02083333,17.47664541
2.03125,17.47664541
2.04166667,17.47664541
2.05208333,17.47664541
2.0625,17.47664541
2.07291667,17.47664541
2.08333333,17.47664541
2.09375,17.47664541
2.10416667,17.47664541
2.11458333,17.47664541
2.125,17.47664541
2.13541667,17.47664541
2.14583333,17.47664541
2.15625,17.47664541
2.16666667,17.47664541
2.17708333,17.47664541
2.1875,17.47664541
2.19791667,17.47664541
2.20833333,17.47664541
2.21875,17.47664541
2.22916667,17.47664541
2.23958333,17.47664541
2.25,17.47664541
2.26041667,17.47664541
2.27083333,17.47664541
2.28125,17.47664541
2.29166667,17.47664541
2.30208333,17.47664541
2.3125,17.47664541
2.32291667,17.47664541
2.33333333,17.47664541
2.34375,17.47664541
2.35416667,17.47664541
2.36458333,17.47664541
2.375,17.47664541
2.38541667,17.47664541
2.39583333,17.47664541
2.40625,17.47664541
2.41666667,17.47664541
2.42708333,17.47664541
2.4375,17.47664541
2.44791667,17.47664541
2.45833333,17.47664541
2.46875,17.47664541
2.47916667,17.47664541
2.48958333,17.47664541
2.5,17.47664541
2.51041667,17.47664541
2.52083333,17.47664541
2.53125,17.47664541
2.54166667,17.47664541
2.55208333,17.47664541
2.5625,17.47664541
2.57291667,17.47664541
2.58333333,17.47664541
2.59375,17.47664541
2.60416667,17.47664541
2.61458333,17.47664541
2.625,17.47664541
2.63541667,17.47664541
2.64583333,17.47664541
2.65625,17.47664541
2.66666667,17.47664541
2.67708333,17.47664541
2.6875,17.47664541
2.69791667,17.47664541
2.70833333,17.47664541
2.71875,17.47664541
2.72916667,17.47664541
2.73958333,17.47664541
2.75,17.47664541
2.76041667,17.47664541
2.77083333,17.47664541
2.78125,17.47664541
2.79166667,17.47664541
2.80208333,17.47664541
2.8125,17.47664541
2.82291667,17.47664541
2.83333333,17.47664541
2.84375,17.47664541
2.85416667,17.47664541
2.86458333,17.47664541
2.875,17.47664541
2.88541667,17.47664541
2.89583333,17.47664541
2.90625,17.47664541
2.91666667,17.47664541
2.92708333,17.47664541
2.9375,17.47664541
2.94791667,17.47664541
2.95833333,17.47664541
2.96875,17.47664541
2.97916667,17.47664541
2.98958333,17.47664541
3,17.47664541
3.01041667,17.47664541
3.02083333,17.47664541
3.03125,17.47664541
3.04166667,17.47664541
3.05208333,17.47664541
3.0625,17.47664541
3.07291667,17.47664541
3.08333333,17.47664541
3.09375,17.47664541
3.10416667,17.47664541
3.11458333,17.47664541
3.125,17.47664541
3.13541667,17.47664541
3.14583333,17.47664541
3.15625,17.47664541
3.16666667,17.47664541
3.17708333,17.47664541
3.1875,17.47664541
3.19791667,17.47664541
3.20833333,17.47664541
3.21875,17.47664541
3.22916667,17.47664541
3.23958333,17.47664541
3.25,17.47664541
3.26041667,17.47664541
3.27083333,17.47664541
3.28125,17.47664541
3.29166667,17.47664541
3.30208333,17.47664541
3.3125,17.47664541
3.32291667,17.47664541
3.33333333,17.47664541
3.34375,17.47664541
3.35416667,17.47664541
3.36458333,17.47664541
3.375,17.47664541
3.38541667,17.47664541
3.39583333,17.47664541
3.40625,17.47664541
3.41666667,17.47664541
3.42708333,17.47664541
3.4375,17.47664541
3.44791667,17.47664541
3.45833333,17.47664541
3.46875,17.47664541
3.47916667,17.47664541
3.48958333,17.47664541
3.5,17.47664541
3.51041667,17.47664541
3.52083333,17.47664541
3.53125,17.47664541
3.54166667,17.47664541
3.55208333,17.47664541
3.5625,17.47664541
3.57291667,17.47664541
3.58333333,17.47664541
3.59375,17.47664541
3.60416667,17.47664541
3.61458333,17.47664541
3.625,17.47664541
3.63541667,17.47664541
3.64583333,17.47664541
3.65625,17.47664541
3.66666667,17.47664541
3.67708333,17.47664541
3.6875,17.47664541
3.69791667,17.47664541
3.70833333,17.47664541
3.71875,17.47664541
3.72916667,17.47664541
3.73958333,17.47664541
3.75,17.47664541
3.76041667,17.47664541
3.77083333,17.47664541
3.78125,17.47664541
3.79166667,17.47664541
3.80208333,17.47664541
3.8125,17.47664541
3.82291667,17.47664541
3.83333333,17.47664541
3.84375,17.47664541
3.85416667,17.47664541
3.86458333,17.47664541
3.875,17.47664541
3.88541667,17.47664541
3.89583333,17.47664541
3.90625,17.47664541
3.91666667,17.47664541
3.92708333,17.47664541
3.9375,17.47664541
3.94791667,17.47664541
3.95833333,17.47664541
3.96875,17.47664541
