$1980 DeGray Reservoir meteorology                                                    ,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
47.125,2.8,-3.3,6.1,6.12,10
47.25,0.6,-6.1,4.5,6.29,10
47.375,1.1,-7.2,5.3,0.17,9
47.5,2.8,-8.3,5.3,0.17,8
47.625,2.8,-11.1,6.4,6.12,10
47.75,0,-12.2,6.1,6.29,9
47.875,-2.2,-12.2,6.4,6.12,1
48,-5,-13.3,4.5,5.94,0
48.125,-6.7,-13.9,2.7,5.94,0
48.25,-8.3,-13.9,3.4,6.29,0
48.375,-5.6,-13.3,3.8,0.7,0
48.5,-1.7,-13.3,2.7,1.05,0
48.625,0.6,-13.3,0,0,0
48.75,-1.1,-12.8,2.3,2.1,3
48.875,-2.2,-10.6,2.3,1.75,0
49,-3.9,-9.4,0,0,0
49.125,-5.6,-9.4,0,0,2
49.25,-6.1,-9.4,0,0,2
49.375,-0.6,-5.6,1.9,2.97,7
49.5,6.1,-6.7,3.4,2.62,9
49.625,7.8,-6.7,5.3,2.45,4
49.75,7.8,-5,4.5,2.45,9
49.875,7.2,-4.4,3,2.8,10
50,7.2,-3.9,3,2.62,10
50.125,7.2,-2.8,2.7,2.97,10
50.25,8.9,0.6,3,3.15,10
50.375,8.9,3.3,2.7,2.1,10
50.5,9.4,5.6,2.7,2.1,10
50.625,13.3,10,2.7,2.27,10
50.75,12.2,8.3,2.3,0.7,3
50.875,8.9,6.7,0,0,0
51,7.2,5,2.3,0.35,0
51.125,7.8,5.6,2.7,5.59,10
51.25,8.9,6.1,0,0,10
51.375,10,7.2,1.9,4.72,10
51.5,11.7,8.9,2.7,3.67,10
51.625,13.9,9.4,3.8,1.92,7
51.75,10.6,7.8,2.7,1.92,7
51.875,10,7.2,3,1.22,10
52,10,7.8,1.9,1.22,10
52.125,8.3,7.2,1.1,3.5,10
52.25,6.7,5.6,0,0,10
52.375,12.2,10,2.3,5.07,10
52.5,25,8.9,6.1,4.2,3
52.625,27.8,2.8,6.4,4.37,0
52.75,22.8,-1.1,4.5,4.37,0
52.875,17.2,0,3,4.55,0
53,15.6,1.1,2.3,4.55,0
53.125,7.2,0.6,1.9,5.77,0
53.25,6.7,0.6,1.9,4.37,0
53.375,13.3,5.6,0,0,3
53.5,20,5,3.4,2.27,9
53.625,21.7,6.1,4.5,2.27,9
53.75,18.3,6.1,2.3,1.22,3
53.875,15,7.2,1.1,0.7,0
54,10,6.1,3.4,5.24,0
54.125,9.4,5.6,3,5.07,0
54.25,9.4,6.1,0,0,0
54.375,12.8,7.2,4.5,6.12,0
54.5,16.7,6.7,4.5,5.77,0
54.625,18.3,5,2.3,5.24,4
54.75,16.1,4.4,2.7,6.29,6
54.875,12.2,3.9,3,0.7,1
55,10,3.3,3.4,0.7,7
55.125,6.1,1.1,2.7,0.52,0
55.25,3.9,1.1,1.9,0.87,0
55.375,7.8,3.3,3.4,0.87,0
55.5,12.8,3.3,4.5,1.05,5
55.625,13.9,2.8,4.5,6.12,10
55.75,8.9,1.1,5.7,6.29,10
55.875,6.1,1.1,4.9,6.29,4
56,3.9,0,4.5,5.59,10
56.125,1.7,-0.6,1.1,4.02,0
56.25,1.1,-2.2,2.7,4.02,0
56.375,7.8,2.8,3.4,4.55,1
56.5,10,-10,7.6,5.77,0
56.625,10,-12.2,6.4,5.42,0
56.75,7.2,-13.3,6.4,6.12,0
56.875,1.7,-15,6.4,0.17,0
57,-1.7,-15,4.5,5.94,0
57.125,-3.9,-15,2.3,0.17,0
57.25,-5.6,-15,3,0.17,0
57.375,-1.7,-13.3,3.8,1.57,0
57.5,2.2,-13.3,3,2.8,0
57.625,7.8,-11.1,3,2.27,0
57.75,7.2,-13.3,3,3.5,3
57.875,4.4,-12.8,3,4.02,0
58,4.4,-11.7,2.3,4.2,0
58.125,2.2,-10,2.7,4.37,0
58.25,0.6,-8.9,2.7,4.2,0
58.375,7.2,-6.1,2.7,4.2,2
58.5,17.8,-3.3,1.9,5.07,0
58.625,22.2,-1.7,2.3,4.37,0
58.75,18.9,-2.2,2.3,4.2,4
58.875,14.4,-1.1,3.4,4.02,0
59,10,-1.1,2.7,4.2,0
59.125,12.2,-0.6,5.3,4.2,0
59.25,11.7,-0.6,4.9,4.37,3
59.375,16.1,2.8,4.9,4.2,2
59.5,23.9,5,5.3,4.37,5
59.625,27.8,4.4,4.9,4.37,8
59.75,25.6,3.9,3.4,4.2,6
59.875,16.1,3.9,6.4,0.87,3
60,8.9,1.7,6.1,1.22,2
60.125,4.4,-1.7,5.3,1.05,1
60.25,2.2,-3.9,6.4,1.05,1
60.375,3.9,-4.4,5.7,1.22,10
60.5,6.1,-6.1,6.4,0.87,10
60.625,7.8,-5.6,6.8,1.22,9
60.75,5.6,-6.1,6.4,1.22,10
60.875,4.4,-6.7,5.3,0.87,10
61,2.2,-7.8,6.8,0.7,10
61.125,-2.2,-7.2,6.4,0.35,10
61.25,-3.3,-8.3,5.7,0.17,7
61.375,-3.9,-10,6.4,5.94,10
61.5,-3.3,-11.1,5.7,5.94,10
61.625,-2.2,-11.7,5.7,5.77,10
61.75,-3.3,-12.2,7.6,5.94,9
61.875,-3.3,-12.2,6.8,0.17,10
62,-4.4,-15,4.5,6.29,4
62.125,-5.6,-15,6.4,6.29,0
62.25,-7.2,-15,3.8,5.77,0
62.375,-4.4,-14.4,5.3,0.35,0
62.5,0,-14.4,3.8,0.35,0
62.625,2.8,-14.4,1.9,5.77,0
62.75,1.1,-16.1,1.9,5.94,0
62.875,-2.2,-13.9,2.3,3.15,0
63,-4.4,-12.2,1.1,3.15,0
63.125,-5.6,-13.3,2.3,4.02,0
63.25,-5,-12.8,3.8,3.5,0
63.375,-0.6,-9.4,3.4,3.67,7
63.5,6.1,-9.4,4.5,3.32,8
63.625,11.1,-9.4,5.3,3.67,9
63.75,11.1,-10.6,4.9,3.32,7
63.875,9.4,-10,3,2.8,10
64,8.9,-5,4.9,3.67,10
64.125,8.9,-1.1,4.5,3.5,10
64.25,7.2,1.1,3.8,3.15,10
64.375,7.2,3.3,2.3,2.97,10
64.5,11.1,7.2,5.3,3.32,10
64.625,12.2,7.8,5.3,3.5,10
64.75,13.9,10,6.1,3.32,10
64.875,15,11.1,2.7,4.2,10
65,14.4,12.2,3,4.37,10
65.125,7.8,0.6,6.4,5.42,10
65.25,4.4,-1.1,4.5,5.77,3
65.375,5.6,-2.8,5.3,5.94,2
65.5,8.9,-2.8,5.3,5.94,0
65.625,12.2,-3.3,4.5,6.29,0
65.75,10,-4.4,2.7,0.17,0
65.875,5.6,-5,1.9,0.52,0
66,2.8,-5,1.9,0.87,0
66.125,0.6,-6.7,2.3,0.7,0
66.25,-1.1,-7.2,2.3,1.05,0
66.375,4.4,-1.1,3,1.75,9
66.5,11.1,-0.6,3.4,2.62,7
66.625,16.1,0,3.4,2.97,8
66.75,15,1.7,2.7,2.45,7
66.875,11.1,3.3,1.9,2.45,4
67,11.7,5.6,3,2.62,3
67.125,14.4,10,1.9,3.15,10
67.25,14.4,11.1,1.9,2.8,10
67.375,15,12.2,1.9,2.1,10
67.5,19.4,15,3,4.02,10
67.625,25.6,15,5.3,4.37,8
67.75,24.4,14.4,4.9,4.02,10
67.875,20.6,13.9,2.7,3.67,0
68,20,15.6,3.4,4.2,0
68.125,18.3,15,3.8,4.02,0
68.25,17.8,15,2.3,4.02,0
68.375,16.7,6.7,4.5,5.59,10
68.5,18.9,5,4.5,5.42,8
68.625,19.4,3.3,6.1,5.42,4
68.75,16.1,2.8,3.4,6.12,7
68.875,10,2.2,2.3,0.35,0
69,7.2,1.1,2.3,0.35,0
69.125,5,0.6,2.7,0.7,0
69.25,1.7,-1.1,2.3,0.87,0
69.375,7.8,3.3,3,1.75,2
69.5,12.2,3.3,2.7,1.75,1
69.625,16.7,2.8,3.4,2.27,5
69.75,14.4,2.8,3,2.45,3
69.875,11.7,3.9,1.9,2.27,0
70,8.3,3.9,0,0,0
70.125,6.1,3.3,0,0,0
70.25,4.4,2.8,1.9,4.2,0
70.375,13.9,8.3,1.1,5.42,0
70.5,23.3,-1.1,2.7,5.07,0
70.625,26.1,-2.2,4.9,5.42,0
70.75,22.2,-3.3,3.4,5.42,4
70.875,15,-3.3,1.9,4.55,0
71,15,-0.6,4.5,1.05,0
71.125,10,0.6,3,0.52,0
71.25,6.7,-0.6,3.8,1.05,5
71.375,6.1,-5,5.7,1.22,9
71.5,8.9,-9.4,6.1,1.4,10
71.625,7.8,-7.8,4.9,1.22,10
71.75,6.7,-4.4,3.4,1.4,10
71.875,4.4,-1.7,3,1.22,10
72,4.4,0,4.9,1.4,10
72.125,4.4,1.1,3.4,1.4,10
72.25,6.1,2.8,3.4,6.29,10
72.375,6.7,4.4,3,1.4,10
72.5,9.4,6.7,3,1.92,10
72.625,11.1,9.4,1.9,2.27,10
72.75,11.1,9.4,2.7,0.7,10
72.875,10.6,8.3,2.7,6.12,10
73,10,8.3,0,0,10
73.125,10,8.3,1.9,5.77,10
73.25,9.4,6.7,6.1,5.42,10
73.375,10.6,3.9,4.9,5.24,4
73.5,13.3,2.2,8,5.07,5
73.625,15,0.6,8,5.24,1
73.75,13.9,-3.9,6.1,5.42,0
73.875,10,-3.9,1.9,5.24,0
74,7.2,-3.9,3,5.59,0
74.125,2.2,-3.3,1.9,4.55,0
74.25,1.1,-2.8,1.9,4.2,2
74.375,8.3,2.2,3.4,1.75,0
74.5,12.8,0.6,3,1.75,2
74.625,16.1,1.1,3.4,2.27,0
74.75,13.9,-0.6,3,2.1,3
74.875,7.8,0,2.7,2.62,3
75,6.7,0,0,0,0
75.125,3.3,-2.2,2.3,1.05,0
75.25,1.7,-2.2,1.1,4.2,0
75.375,9.4,4.4,1.9,2.1,7
75.5,17.2,3.3,4.5,2.45,7
75.625,19.4,3.9,5.3,2.1,8
75.75,16.1,4.4,4.9,2.27,1
75.875,11.1,3.9,2.7,2.45,0
76,8.3,3.9,1.1,2.1,0
76.125,11.1,5.6,0,0,6
76.25,12.2,8.3,0,0,10
76.375,13.3,11.1,3.8,2.62,10
76.5,16.1,13.3,3.4,2.27,10
76.625,16.1,13.3,3.4,2.62,10
76.75,15.6,13.3,2.7,2.27,10
76.875,15,13.3,2.7,2.1,10
77,15.6,13.3,2.7,3.15,10
77.125,14.4,12.8,1.9,0.7,10
77.25,13.3,12.2,1.9,3.15,10
77.375,11.7,10.6,6.8,5.24,10
77.5,7.8,6.1,5.3,6.12,10
77.625,12.8,5,5.3,5.77,3
77.75,11.1,-0.6,5.3,6.29,2
77.875,6.7,-2.2,2.3,5.94,0
78,5.6,-2.8,0,0,0
78.125,2.2,-2.8,1.9,4.55,0
78.25,0.6,-2.2,1.9,4.37,0
78.375,8.9,2.8,0,0,0
78.5,13.3,-1.7,3,2.1,0
78.625,14.4,-2.2,3.4,2.27,3
78.75,11.7,-1.1,3,2.27,4
78.875,9.4,1.1,1.9,2.27,4
79,7.2,1.7,0,0,6
79.125,7.8,3.3,0,0,10
79.25,7.8,3.9,3,3.32,10
79.375,10.6,3.9,2.7,3.15,10
79.5,13.9,3.3,2.7,3.32,10
79.625,16.1,3.9,5.3,3.5,10
79.75,13.3,5.6,3.4,2.97,10
79.875,12.2,7.8,3,2.8,10
80,11.7,8.3,3,2.8,10
80.125,11.1,8.9,0,0,10
80.25,12.2,9.4,0,0,10
80.375,12.2,10,1.9,2.62,10
80.5,14.4,13.3,1.9,2.45,10
80.625,20.6,17.2,6.1,4.2,8
80.75,23.3,11.7,8.7,5.07,2
80.875,11.1,4.4,6.4,5.42,7
81,8.3,1.7,5.3,5.42,0
81.125,7.2,1.7,3.4,4.55,0
